archetype,feature,mean,median,std,q25,q75,n
Cold-Quiescent,nrf2_activity,-0.23538507858347218,-0.3097862757066227,0.28415822374039335,-0.414921211043758,-0.1271810093536151,117
HMOX2-Driven,nrf2_activity,0.05829783049756687,-0.035359087787477,0.6864731445241452,-0.32669258053853534,0.1667934531650648,39
Immune-Active,nrf2_activity,0.039838724078387296,-0.1867739469801692,0.5498421547166065,-0.39532281407612657,0.3776055112226293,56
Immune-Active-4,nrf2_activity,-0.19628863203265384,-0.2988216615545355,0.321091692585682,-0.4470880122805927,-0.0267507072734368,65
NRF2-Dominant,nrf2_activity,1.23428383926186,1.1521383135609824,0.4892736277537562,0.9167641019340124,1.474682256890373,29
Cold-Quiescent,ferroptosis_vulnerability,0.34567505920130864,0.2714990840670629,0.6564411190950844,-0.0574917624576957,0.7315906668278893,117
HMOX2-Driven,ferroptosis_vulnerability,-0.658593703064306,-0.4982841697713512,0.9968679907412719,-1.1282183772878915,-0.056124642068247146,39
Immune-Active,ferroptosis_vulnerability,0.16190667735654954,0.22797993511169265,1.4731867192960624,-0.3911087243859951,0.7950101199266932,56
Immune-Active-4,ferroptosis_vulnerability,-0.07959550104954217,-0.0516387839411495,0.6405456768605571,-0.5161911899975494,0.3181225982039012,65
NRF2-Dominant,ferroptosis_vulnerability,-0.6431687541652321,-0.6296827457080693,0.8855163622057096,-1.040815951346891,-0.13964068284756,29
Cold-Quiescent,sting_score,-0.2067956272396849,-0.2389677250816872,0.2971867268018683,-0.4042700659362732,-0.0686585575192562,117
HMOX2-Driven,sting_score,-0.21349503552708862,-0.2340052177161287,0.22302290603965452,-0.36900562767084844,-0.05852806385836995,39
Immune-Active,sting_score,0.6712422791625858,0.4509839620533582,0.6514459586557871,0.1855352578846461,0.9473074256568652,56
Immune-Active-4,sting_score,-0.06110558366455692,-0.073797026640803,0.2569451393271172,-0.2048809192948321,0.1010104890066157,65
NRF2-Dominant,sting_score,-0.037803790424448064,-0.0467407564349346,0.3304859898495588,-0.2618516240852389,0.0785960794365065,29
Cold-Quiescent,immune_NK_cells,-0.21978028443117814,-0.2184348244011735,0.04414099493424702,-0.247737486937755,-0.1904672083284523,117
HMOX2-Driven,immune_NK_cells,-0.17796886755429212,-0.181539194932984,0.04253384970169748,-0.20264911473570724,-0.1444769641462058,39
Immune-Active,immune_NK_cells,-0.06457690034780841,-0.060212073481142755,0.066061137457477,-0.1110509034479851,-0.031438929775336924,56
Immune-Active-4,immune_NK_cells,-0.13143917147350528,-0.1309951488352438,0.036095258952435115,-0.1598777909988031,-0.1029377376696569,65
NRF2-Dominant,immune_NK_cells,-0.19122411090606414,-0.2101807303046245,0.059837729127786995,-0.2256482991886108,-0.1640553694629508,29
Cold-Quiescent,immune_Dendritic_cells,0.012388617253467158,0.019777082824467,0.06422727669433746,-0.0210462788564862,0.0500896218796831,117
HMOX2-Driven,immune_Dendritic_cells,0.04230831793732835,0.0401864192598096,0.034537841761718924,0.01681609440667005,0.05977529347642615,39
Immune-Active,immune_Dendritic_cells,0.12357766329066068,0.11784277145214114,0.060806165128576804,0.09131326190740421,0.1630144923454924,56
Immune-Active-4,immune_Dendritic_cells,0.09874739415447696,0.0983429513072755,0.05137017528227344,0.0743418383042684,0.1321146163606794,65
NRF2-Dominant,immune_Dendritic_cells,0.045871421117660176,0.0488405896012667,0.058874093963619666,0.0062219811137521,0.090979178103516,29
Cold-Quiescent,immune_CD8_T_cells,-0.20569213375572418,-0.2054365447026919,0.04618132235911771,-0.2402579273893149,-0.1697506872311071,117
HMOX2-Driven,immune_CD8_T_cells,-0.16682757182155475,-0.1690950100938829,0.04054109518188499,-0.1997383185344606,-0.1390173880431479,39
Immune-Active,immune_CD8_T_cells,0.026464633151213928,0.0199978320463339,0.1026009007786598,-0.028084760339317852,0.09115078657151303,56
Immune-Active-4,immune_CD8_T_cells,-0.11349642534806224,-0.1159247232321865,0.050068970577342914,-0.1511861182540208,-0.0752900260389298,65
NRF2-Dominant,immune_CD8_T_cells,-0.18328860903577662,-0.190851248995597,0.05276392285921047,-0.2119519060213124,-0.1588720389732995,29
Cold-Quiescent,HMOX1,1174.0149145299144,743.807,1231.205737412878,462.501,1422.98,117
