analysis,variable,n,events,test_statistic,p_value,median_OS_months,HR,HR_lower,HR_upper,coef,c_index
Log-rank (all archetypes),archetype,306,129,55.40679840942233,2.669930315917012e-11,,,,,,
Pairwise log-rank: Cold-Quiescent vs HMOX2-Driven,archetype,156,67,1.2649746293950526,0.26071155734989676,,,,,,
Pairwise log-rank: Cold-Quiescent vs Immune-Active,archetype,173,74,1.2417267387069424,0.26513852850935726,,,,,,
Pairwise log-rank: Cold-Quiescent vs Immune-Active-4,archetype,182,66,10.631162054277056,0.00111197818180525,,,,,,
Pairwise log-rank: Cold-Quiescent vs NRF2-Dominant,archetype,146,72,21.09696330520574,4.366194925979318e-06,,,,,,
Pairwise log-rank: HMOX2-Driven vs Immune-Active,archetype,95,41,0.0027569379593033664,0.9581250751281276,,,,,,
Pairwise log-rank: HMOX2-Driven vs Immune-Active-4,archetype,104,33,3.317477916169409,0.0685469109834391,,,,,,
Pairwise log-rank: HMOX2-Driven vs NRF2-Dominant,archetype,68,39,23.799590235438462,1.0690521747299796e-06,,,,,,
Pairwise log-rank: Immune-Active vs Immune-Active-4,archetype,121,40,4.361412528049434,0.036761811340466084,,,,,,
Pairwise log-rank: Immune-Active vs NRF2-Dominant,archetype,85,46,21.889084930588655,2.888723602652612e-06,,,,,,
Pairwise log-rank: Immune-Active-4 vs NRF2-Dominant,archetype,94,38,48.64490008843808,3.067649861801324e-12,,,,,,
Median survival,Cold-Quiescent,117,50,,,27.496714848883048,,,,,
Median survival,HMOX2-Driven,39,17,,,55.65045992115637,,,,,
Median survival,Immune-Active,56,24,,,48.94875164257556,,,,,
Median survival,Immune-Active-4,65,16,,,83.18002628120894,,,,,
Median survival,NRF2-Dominant,29,22,,,9.986859395532194,,,,,
Univariate Cox,arch_HMOX2-Driven,306,129,,0.23771437652401683,,0.7162672940448372,0.41162661416868346,1.2463694495421314,-0.3337018659813819,0.6624477419947628
Univariate Cox,arch_Immune-Active,306,129,,0.21320648060192962,,0.7314204256737125,0.44698681900024173,1.1968492500277184,-0.31276684684013245,0.6624477419947628
Univariate Cox,arch_Immune-Active-4,306,129,,0.0009592934214033251,,0.38459281755534475,0.21811514416111613,0.6781355594726614,-0.9555701211049473,0.6624477419947628
Univariate Cox,arch_NRF2-Dominant,306,129,,5.78293949757981e-06,,3.2468973646021944,1.9515454830133099,5.4020480629447745,1.1776998833209071,0.6624477419947628
Multivariate Cox (adj age+sex),age_years,300,124,,0.9043055186466212,,1.0009059260994078,0.9862388409639754,1.0157911362745715,0.0009055159960224797,0.6506529176504602
Multivariate Cox (adj age+sex),is_male,300,124,,0.15414030462232797,,0.7430905036684269,0.4939443686565683,1.1179062495317582,-0.29693743324577865,0.6506529176504602
Multivariate Cox (adj age+sex),arch_HMOX2-Driven,300,124,,0.38388433039967795,,0.7788725526985896,0.44378464584116273,1.3669748582611934,-0.24990785022046996,0.6506529176504602
Multivariate Cox (adj age+sex),arch_Immune-Active,300,124,,0.3171608230701649,,0.7746769945409608,0.4697516900536283,1.2775354694359986,-0.25530911774369996,0.6506529176504602
Multivariate Cox (adj age+sex),arch_Immune-Active-4,300,124,,0.002144617647693886,,0.40073842249820324,0.22349674465216077,0.7185396973736005,-0.914446377496304,0.6506529176504602
Multivariate Cox (adj age+sex),arch_NRF2-Dominant,300,124,,2.133400479592159e-05,,3.598816475768281,1.99390236737565,6.495543732819683,1.2806050346786901,0.6506529176504602
