penalizer,mean_cindex,std_cindex,mean_ngenes,n_folds
0.001,0.676931524245723,0.07032594061003086,20.0,5
0.003,0.6781098242619206,0.07141126532064056,20.0,5
0.005,0.6789699940612588,0.07075074625350712,19.8,5
0.007,0.6788341143835088,0.06900605474531521,19.4,5
0.01,0.6790049049414367,0.06780036803950332,19.0,5
0.015,0.6648128256185188,0.07001443474974632,18.0,5
0.02,0.6665005185511411,0.06744964384878059,17.2,5
0.025,0.6646399249126608,0.06115269248161636,16.2,5
0.03,0.6702267184239888,0.06232046686998665,15.2,5
0.04,0.6681884758544839,0.05388093770476651,13.8,5
0.05,0.6495029857889782,0.058472307578933215,13.8,5
0.07,0.6493006883097979,0.055051638343457505,10.4,5
0.1,0.6460049216833855,0.052435149617500225,5.6,5
