cell_type,kruskal_H,p_value,mean_A: Concordant High,mean_B: Ferroptosis-dominant,mean_C: Hypoxia-dominant,mean_D: Concordant Low,fdr_q,significant
pDCs,31.084262084001807,8.160201829658906e-07,0.02531459074877672,0.0572782527291387,0.029421937894788197,0.068158114872053,1.2240302744488358e-05,True
Th17,21.71313805768966,7.483878380865267e-05,-0.1406101032397019,-0.11732847376238938,-0.10345637510849608,-0.10770497742149499,0.0005612908785648951,True
NK_cells,16.883125832802648,0.0007469534938174624,-0.1832422421338631,-0.15081837861275127,-0.17016937842492252,-0.14953140233618928,0.002890322741066787,True
Th1,16.81686368300859,0.0007707527309511431,-0.20111807345053376,-0.16336826223927203,-0.1798117877157177,-0.19596476204302443,0.002890322741066787,True
CD4_T_cells,9.864702351727374,0.019751928751150928,0.04293493259239317,0.057690868586071004,0.03815673014852488,0.02041038051942294,0.05258015216420667,False
Mast_cells,9.700880300075937,0.021287616755303357,-0.18811437750545398,-0.14459311770455502,-0.1681664918228433,-0.1413035216767927,0.05258015216420667,False
CD8_T_cells,9.38941207700077,0.024537404343296446,-0.14664692634203216,-0.1127429992529554,-0.12590794440118433,-0.14171419112881112,0.05258015216420667,False
Treg,6.607531252510171,0.08551684832073056,-0.1650515183318459,-0.14586857064989073,-0.16073527513881194,-0.16982231739137338,0.1603440906013698,False
B_cells,4.25601912045272,0.23511281259469927,-0.23409506073990669,-0.21743851979737613,-0.2083748226759859,-0.2402935698708496,0.3918546876578321,False
Macrophages_M2,3.569159378052859,0.3119025339892671,0.08388324734095783,0.1051168057129403,0.07642022311385516,0.09194321425463936,0.46785380098390067,False
Neutrophils,3.006081290999532,0.39068851081633243,-0.23201779082259064,-0.23773317428894303,-0.25545212622280117,-0.24430045540747988,0.481939162310123,False
Macrophages_M1,2.9136955119287222,0.4051239290990859,-0.02920221111365393,-0.014986584773741924,-0.02475835136019491,-0.02577276643424586,0.481939162310123,False
Plasma_cells,2.811666407318171,0.42158301781170626,0.2815689761821793,0.27936052983224574,0.28415039415998433,0.27614492630743603,0.481939162310123,False
Th2,2.6441044052899088,0.4498098848227815,-0.3609345950508781,-0.35367993332993397,-0.3484770559063793,-0.35437115605294595,0.481939162310123,False
Dendritic_cells,2.0915757351104958,0.5536189287358027,0.05112211646583248,0.0642403138709923,0.07116325455532731,0.05646963710873917,0.5536189287358027,False
